date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:48:06	94194/94194	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Feb%202025%2004:48:09%20GMT	https://sites.google.com/view/knowyouradhikar/home	C:/adhikar/adhikar_compiler/sites.google.com/view/knowyouradhikar/home.html	(from )
23:48:06	85/85	---MCZ	200	added ('OK')	text/plain	date:Tue,%2025%20Feb%202025%2004:48:10%20GMT	https://sites.google.com/robots.txt		(from )
23:48:08	68660/68660	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Feb%202025%2004:48:11%20GMT	https://sites.google.com/view/knowyouradhikar/POST	C:/adhikar/adhikar_compiler/sites.google.com/view/knowyouradhikar/POST.1.delayed	(from https://sites.google.com/view/knowyouradhikar/home)
23:48:09	297036/297036	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Jun%202023%2004:48:00%20GMT	https://ssl.gstatic.com/atari/images/simple-header-blended-small.png	C:/adhikar/adhikar_compiler/ssl.gstatic.com/atari/images/simple-header-blended-small.png	(from https://sites.google.com/view/knowyouradhikar/home)
23:48:09	14461/14461	---M--	200	added ('OK')	text/javascript	etag:%22d49e3440ad7b8d28%22	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/adhikar/adhikar_compiler/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/knowyouradhikar/home)
23:48:10	83000/83000	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Feb%202025%2004:48:14%20GMT	https://sites.google.com/view/knowyouradhikar/red-card	C:/adhikar/adhikar_compiler/sites.google.com/view/knowyouradhikar/red-card.html	(from https://sites.google.com/view/knowyouradhikar/home)
23:48:11	100989/100989	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Feb%202025%2004:48:14%20GMT	https://sites.google.com/view/knowyouradhikar/what-if-scenario	C:/adhikar/adhikar_compiler/sites.google.com/view/knowyouradhikar/what-if-scenario.html	(from https://sites.google.com/view/knowyouradhikar/home)
23:48:11	90488/90488	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Feb%202025%2004:48:15%20GMT	https://sites.google.com/view/knowyouradhikar/resources	C:/adhikar/adhikar_compiler/sites.google.com/view/knowyouradhikar/resources.html	(from https://sites.google.com/view/knowyouradhikar/home)
23:48:12	77986/77986	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Feb%202025%2004:48:16%20GMT	https://sites.google.com/view/knowyouradhikar/contact	C:/adhikar/adhikar_compiler/sites.google.com/view/knowyouradhikar/contact.html	(from https://sites.google.com/view/knowyouradhikar/home)
23:48:13	75625/75625	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Feb%202025%2004:48:16%20GMT	https://sites.google.com/view/knowyouradhikar/sms	C:/adhikar/adhikar_compiler/sites.google.com/view/knowyouradhikar/sms.html	(from https://sites.google.com/view/knowyouradhikar/home)
23:48:13	1258/1258	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:30:00%20GMT	https://www.google.com/images/icons/product/drive-32.png	C:/adhikar/adhikar_compiler/www.google.com/images/icons/product/drive-32.png	(from https://sites.google.com/view/knowyouradhikar/red-card)
23:48:15	16083/16083	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2025%20Feb%202025%2004:48:19%20GMT	https://sites.google.com/view/knowyouradhikar/%22sms:&body=Hey,%20I%e2%80%99m%20alerting%20you%20that%20I%20may%20be%20or%20could%20possibly%20be%20arrested/detained%20by%20ICE%20authorities.%20If%20you%20do%20not%20hear%20from%20me%20in%20the%20next%20few%20hours,%20please%20check%20this%20search%20system:%20https://locator.ice.gov/odls/	C:/adhikar/adhikar_compiler/sites.google.com/view/knowyouradhikar/_sms_&body=Hey,%20I%e2%80%99m%20alerting%20you%20that%20I%20may%20be/detained%20by%20ICE%20authorities.%20If%20you%20do%20not%20hear/locator.ice.gov/odls/index.html	(from https://sites.google.com/view/knowyouradhikar/sms)
